Input Name,Best Match,Match Score,Is Match,Match Category
Zay Thiha,"ZA, Tay",50.0,False,Weak Match
Khin Nyunt,"YI, Khin Maung",58.33333333333333,False,Weak Match
Khin Win Shwe,"SOE, Win Min",64.0,False,Partial Match
Aung Thet Mann,"OO, Aung Naing",57.14285714285714,False,Weak Match
Toe Naing Mann,"OO, Aung Naing",57.14285714285714,False,Weak Match
Zay Zin Latt,"MIN, Tin Latt",64.0,False,Partial Match
Tin Aung Myint Oo,"SAN, Tin Aung",60.0,False,Partial Match
Kyaw Win,"OO, Kyaw Min",70.0,False,Partial Match
Ye Myint,"SWE, Myint",66.66666666666667,False,Partial Match
"Designing, Engineering & Manufacturing Development of Iran Khodro Co. (DEMICO) Heavy Metal Industries (HMI)","DEMIDOV, Valentin Valentinovich",30.434782608695656,False,Weak Match
Ecxir Trading Company (ETC),"KOZAK, Taras Romanovych",43.99999999999999,False,Weak Match
Esfahan Chemical Industries,"TEMIN, Catherine Esther",40.0,False,Weak Match
Y.A.S. Company Limited,"QASIM, Mohammed",43.24324324324324,False,Weak Match
DIFACO,DIAMOND,61.53846153846154,False,Partial Match
Negan Parto Khevar,"CHIT, Khaing Pa Pa",44.44444444444444,False,Weak Match
Ettehad Aluminat Industrial Production Co.,"EL HADI, Mustapha Nasri Ben Abdul Kader Ait",40.0,False,Weak Match
Everend Asia Co. Machines & Indus. Services,"AWADD, Mohamed Sherif Mohamed Mohamed",40.0,False,Weak Match
Mowj Nasr Gostar Communications and Electronics Company,"SMIRNOV, Dmitriy Konstantinovich",36.7816091954023,False,Weak Match
Oil Pension Fund Investment Company,"DALE, Anders Cameroon Ostensvig",39.39393939393939,False,Weak Match
Pardis Sabz Mellal Company,"MUSA, Algoney Hamdan Daglo",42.307692307692314,False,Weak Match
Samen AlAiemeh Credit Cooperative,"AL-DARI, Harith Sulayman",42.10526315789473,False,Weak Match
Toseeh Etemad Investment Company,"TEMIN, Catherine Esther",40.0,False,Weak Match
Faranir,"FUKUDA, Hareaki",45.45454545454546,False,Weak Match
Farj Marine Industries,"LOUIE, Daniel Maurice",46.51162790697675,False,Weak Match
Ghavifekr Technical and Industrial Group,"TAHA, Khalil Ibrahim Mohamed Achar Foudail",41.463414634146346,False,Weak Match
Helal Company,"PAO, Hua Chiang",42.85714285714286,False,Weak Match
Alp Company (PJS),"SAAB, Tony",44.44444444444444,False,Weak Match
Armée iranienne,"CAO, Jianming",50.0,False,Weak Match
Force navale iranienne,"LOUIE, Francine Denise",40.90909090909091,False,Weak Match
Iranian Research Organization for Science and Technology (IROST),"BARROS, Francisco de Fatima Frederico",43.56435643564357,False,Weak Match
IRGC Logistics and Procurement,"KULINICH, Larisa Vitalievna",38.59649122807017,False,Weak Match
Ana Trading Company,"KOZAK, Taras Romanovych",52.38095238095239,False,Weak Match
Islamic Republic of Iran Air Force,"AHMED, Isma'il Fu'ad Rasul",43.333333333333336,False,Weak Match
Jahad Engineering Services Co.,"CHEMEZOV, Sergey Sergeevich",42.10526315789473,False,Weak Match
Kanavaran Mining And Industrial Co,"BYCHAK, Kanstantsin Fiodaravich",43.07692307692308,False,Weak Match
Mapna Co.,"KO, Chol Man",57.14285714285714,False,Weak Match
Mavadkaran Jahed Noavar Co.,"AL-RAWI, Marwan Mahdi Salah",48.14814814814815,False,Weak Match
Mehr Engineering and Industrial Group,"HAMAMI, Brahim Ben Hedili Ben Mohamed",40.54054054054054,False,Weak Match
Missile Industries Group,"MALEVANYY, Konstantin Vasilyevich",38.59649122807017,False,Weak Match
N.A.B. Export Co.,EMMR & CIA. S.A.S.,51.42857142857142,False,Weak Match
Noavin Ltd.,"MIN, Tin Latt",50.0,False,Weak Match
Nouavar Shad Co Ltd,"LICUL, Noah",46.666666666666664,False,Weak Match
Oil Turbocompressor Engineering Co. (OTEC),"TONG, Thomas Ho Ming",38.70967741935484,False,Weak Match
Palayesh Niroo,"PANKOV, Nikolay Vasilyevich",48.78048780487805,False,Weak Match
Parashnoor Photonics Co.,"HAPILON, Isnilon Totoni",42.553191489361694,False,Weak Match
Pars Switch Co.,"ECOBU, Patrick",48.275862068965516,False,Weak Match
Pars Tablo,"CHA, Ta Fa",40.0,False,Weak Match
Pasteur Institute of Iran,"TEMIN, Catherine Esther",41.666666666666664,False,Weak Match
Physics Research Center (PHRC),"MIKLASHEVICH, Petr Petrovich",41.379310344827594,False,Weak Match
Pouya Aflak Sepher,"ESSA, Agila Saleh",45.714285714285715,False,Weak Match
RAFIZCO,YORACO,61.53846153846154,False,Partial Match
Razi Vaccine and Serum Research Institute in the Ministry of Jahad,"MUHAMMAD, Sirajuddin Haqqani Jalaluddin Khwasa",35.71428571428571,False,Weak Match
Boweir Sanaat,"MATANGA, Tandabantu Godwin",46.15384615384615,False,Weak Match
SABA Battery Mfg. Co.,"MARCANO TABATA, Javier Jose",45.833333333333336,False,Weak Match
SABA Machinery Supplying Co.,"SALAH, Mahir Jawad Yunis",50.0,False,Weak Match
Saba Niroo,"KHAN, Shahbaz",52.17391304347826,False,Weak Match
SANAM Electronics Co. (Shahid Shahabady Industrial Complex),"SUAZA BARCO, Maria del Carmen",36.36363636363637,False,Weak Match
"Shahid Beheshti University, Department of Engineering","JAMMALI, Imed Ben Bechir Ben Hamda",36.7816091954023,False,Weak Match
Université Shahid Sattari de la force aérienne,"BARROS, Francisco de Fatima Frederico",40.963855421686745,False,Weak Match
Shian Co.,"LI, Shangfu",50.0,False,Weak Match
Shiroudi Industries,"SKOCH, Andrei Vladimirovich",43.47826086956522,False,Weak Match
South Industrial Power,"KLYUYEV, Andriy Petrovych",42.553191489361694,False,Weak Match
Defence Industries Organization Training and Research Institute,"MOLOSTOV, Konstantin Gennadievich",35.416666666666664,False,Weak Match
Three Star Services Co. (T.S.S. Co.),"KRAVTSOV, Sergey Sergeevich",41.269841269841265,False,Weak Match
TSS Co.,TABACOS USA INC.,52.17391304347826,False,Weak Match
Turbine Blade Engineering and Manufacturing Co. (PARTO),"PANKRATOVA, Yuliya Vladimirovna",39.53488372093024,False,Weak Match
Advanced Fibres Development Company,"CHAVEZ FRIAS, Adan Coromoto",38.70967741935484,False,Weak Match
"DEMCO, Designing Engineering & Manufacturing Co.","CHEMODANOV, Denis Grigorievich",41.02564102564102,False,Weak Match
Abdolreza Abedzadeh,"RAHMANI FAZLI, Abdolreza",51.162790697674424,False,Weak Match
Sekhavatmand Davudi,"DEIRY, Mohamad Majd",47.36842105263158,False,Weak Match
Ali Akbarpour Jamshidian,"JEGA, Ali Abbas Usman",53.333333333333336,False,Weak Match
Ali Bakhshayesh,"YUSUF, Bashir Ali",50.0,False,Weak Match
Ali Hosynitash,"HUTHELE, Nasr Mohsen Ali",52.63157894736843,False,Weak Match
Ayatollah Ibrahimi,"EBRAHIMI, Ayatollah",59.45945945945945,False,Weak Match
Hossein Pournaghshand,"PANJAKI, Yahya Hosseini",54.54545454545454,False,Weak Match
Farhoud Masoumian,"FAYAD, Sobhi Mahmoud",48.64864864864865,False,Weak Match
Gholam Reza Jalali Farahani,"ETA'ATI, Gholam Reza",51.06382978723405,False,Weak Match
Hossein Hamadani,"DEHGHAN, Hossein",56.25,False,Weak Match
Hossein Nejat,"NEJAT, Hossein",66.66666666666667,False,Partial Match
